iso3,year,population,scenario
SWZ,2085,1401458.1597766785,SSP1
SWZ,2090,1361241.0152254072,SSP1
SWZ,2095,1318145.540242103,SSP1
SWZ,2100,1272625.1817394504,SSP1
SYR,2010,20410605.999999996,SSP1
SYR,2015,22101084.526051436,SSP1
SYR,2020,23697304.442038685,SSP1
SYR,2025,25183933.50352176,SSP1
SYR,2030,26496753.565309588,SSP1
SYR,2035,27640970.677387454,SSP1
SYR,2040,28553297.35517461,SSP1
SYR,2045,29225454.20707762,SSP1
SYR,2050,29691088.697684243,SSP1
SYR,2055,30000451.243772388,SSP1
SYR,2060,30157297.499668814,SSP1
SYR,2065,30171753.900390193,SSP1
SYR,2070,30034318.627234526,SSP1
SYR,2075,29746719.87531311,SSP1
SYR,2080,29310616.94900063,SSP1
SYR,2085,28713693.6346158,SSP1
SYR,2090,27877093.686875053,SSP1
SYR,2095,26819844.933473922,SSP1
SYR,2100,25506852.178713012,SSP1
TCD,2010,11227208,SSP1
TCD,2015,12676051.948576203,SSP1
TCD,2020,14190850.559578458,SSP1
TCD,2025,15725218.021490835,SSP1
TCD,2030,17168673.65969981,SSP1
TCD,2035,18562038.028217707,SSP1
TCD,2040,19829798.70710648,SSP1
TCD,2045,20947951.564822547,SSP1
TCD,2050,21906694.386509832,SSP1
TCD,2055,22717083.617356684,SSP1
TCD,2060,23384755.124047823,SSP1
TCD,2065,23932396.10852791,SSP1
TCD,2070,24355307.846559133,SSP1
TCD,2075,24653652.44066741,SSP1
TCD,2080,24830937.43052933,SSP1
TCD,2085,24889735.129403435,SSP1
TCD,2090,24832082.93573569,SSP1
TCD,2095,24659444.144960634,SSP1
TCD,2100,24379957.78683355,SSP1
TGO,2010,6027797.999999999,SSP1
TGO,2015,6594283.304117767,SSP1
TGO,2020,7168350.08932982,SSP1
TGO,2025,7708186.941426472,SSP1
TGO,2030,8184548.952038453,SSP1
TGO,2035,8617044.544251084,SSP1
TGO,2040,8993373.092439562,SSP1
TGO,2045,9307276.929268569,SSP1
TGO,2050,9559230.341295406,SSP1
TGO,2055,9748510.809737258,SSP1
TGO,2060,9876225.595778225,SSP1
TGO,2065,9945399.951568125,SSP1
TGO,2070,9955862.976382092,SSP1
TGO,2075,9909842.802118257,SSP1
TGO,2080,9810285.162170798,SSP1
TGO,2085,9662850.214847295,SSP1
TGO,2090,9472257.691694254,SSP1
TGO,2095,9243066.306287017,SSP1
TGO,2100,8980200.725143889,SSP1
THA,2010,69122233.99999999,SSP1
THA,2015,70967221.67575444,SSP1
THA,2020,72336979.64498456,SSP1
THA,2025,73231952.76947476,SSP1
THA,2030,73600484.9561613,SSP1
THA,2035,73527695.27233045,SSP1
THA,2040,72937267.25976974,SSP1
THA,2045,71811883.7631106,SSP1
THA,2050,70212012.6808128,SSP1
THA,2055,68276890.5563296,SSP1
THA,2060,66097092.00543253,SSP1
THA,2065,63652861.3827389,SSP1
THA,2070,60998264.202985,SSP1
THA,2075,58160444.35599941,SSP1
THA,2080,55185455.69382987,SSP1
THA,2085,52108610.321386315,SSP1
THA,2090,48977162.4645156,SSP1
THA,2095,45838224.10813412,SSP1
THA,2100,42740580.86150068,SSP1
TJK,2010,6878636.985014405,SSP1
TJK,2015,7177813.241194801,SSP1
TJK,2020,7404115.30381288,SSP1
TJK,2025,7535705.057038448,SSP1
TJK,2030,7567880.157288358,SSP1
TJK,2035,7536017.65527777,SSP1
TJK,2040,7446429.413089588,SSP1
TJK,2045,7300731.483562159,SSP1
TJK,2050,7105848.482289065,SSP1
TJK,2055,6878126.883212924,SSP1
TJK,2060,6625310.28803132,SSP1
TJK,2065,6387005.606125147,SSP1
TJK,2070,6158479.127634472,SSP1
TJK,2075,5933946.651145589,SSP1
TJK,2080,5710772.639964511,SSP1
TJK,2085,5489132.489870562,SSP1
TJK,2090,5271450.684565989,SSP1
TJK,2095,5062264.813326465,SSP1
TJK,2100,4864211.41338704,SSP1
TKM,2010,5041995,SSP1
TKM,2015,5297165.173250145,SSP1
TKM,2020,5512476.068111894,SSP1
TKM,2025,5674260.824837088,SSP1
TKM,2030,5778114.36407327,SSP1
TKM,2035,5844011.0591615895,SSP1
TKM,2040,5873528.380497936,SSP1
TKM,2045,5862606.941214618,SSP1
TKM,2050,5810135.287085266,SSP1
TKM,2055,5721577.832862706,SSP1
TKM,2060,5602123.950216297,SSP1
TKM,2065,5461403.592359977,SSP1
TKM,2070,5301677.512923095,SSP1
TKM,2075,5124276.542139067,SSP1
TKM,2080,4931065.142163761,SSP1
TKM,2085,4727036.913714539,SSP1
TKM,2090,4517747.611572869,SSP1
TKM,2095,4308684.355328057,SSP1
TKM,2100,4102237.9568607262,SSP1
TLS,2010,1124355.0000014147,SSP1
TLS,2015,1235063.9646640322,SSP1
TLS,2020,1342418.0209011626,SSP1
TLS,2025,1441287.1850650182,SSP1
TLS,2030,1523913.6991949265,SSP1
TLS,2035,1592671.0802869801,SSP1
TLS,2040,1643753.3769468302,SSP1
TLS,2045,1676301.617630063,SSP1
TLS,2050,1690327.976426326,SSP1
TLS,2055,1689344.2452357872,SSP1
TLS,2060,1674783.7516544864,SSP1
TLS,2065,1660467.5558978019,SSP1
TLS,2070,1646619.009329369,SSP1
TLS,2075,1632813.3261123023,SSP1
TLS,2080,1618924.8777735685,SSP1
TLS,2085,1605172.9471295648,SSP1
TLS,2090,1592088.04503901,SSP1
TLS,2095,1580284.6819886458,SSP1
TLS,2100,1570256.6626560292,SSP1
TON,2010,104057.99999999999,SSP1
TON,2015,105490.15995885113,SSP1
TON,2020,106311.00447423627,SSP1
TON,2025,105944.84532086171,SSP1
TON,2030,104619.74986280838,SSP1
TON,2035,102646.70852069707,SSP1
TON,2040,100067.50111493841,SSP1
TON,2045,96834.33460361835,SSP1
TON,2050,92994.66172771805,SSP1
TON,2055,88809.09502071259,SSP1
TON,2060,84455.83394672943,SSP1
TON,2065,80594.98369924707,SSP1
TON,2070,77184.7322712316,SSP1
TON,2075,74132.4335830284,SSP1
TON,2080,71347.18515511446,SSP1
TON,2085,68755.04971700854,SSP1
TON,2090,66301.14568727651,SSP1
TON,2095,63810.31162197776,SSP1
TON,2100,61231.99328438656,SSP1
TTO,2010,1341464.9999999998,SSP1
TTO,2015,1355844.591709204,SSP1
TTO,2020,1357615.7930965459,SSP1
TTO,2025,1347469.3780799066,SSP1
TTO,2030,1327518.9460045842,SSP1
TTO,2035,1301771.2450193034,SSP1
TTO,2040,1269093.8085150812,SSP1
TTO,2045,1228700.0439050074,SSP1
TTO,2050,1181049.880786554,SSP1
TTO,2055,1128244.399056039,SSP1
TTO,2060,1072129.372127637,SSP1
TTO,2065,1014654.6289013376,SSP1
TTO,2070,956076.3812192386,SSP1
TTO,2075,896480.880015473,SSP1
TTO,2080,836587.8865381046,SSP1
TTO,2085,777840.9505665518,SSP1
TTO,2090,721777.994097095,SSP1
TTO,2095,668047.3918697675,SSP1
TTO,2100,614751.7167052319,SSP1
TUN,2010,10480934.000088308,SSP1
TUN,2015,10965250.7618969,SSP1
TUN,2020,11373847.599021662,SSP1
